ID	Label
ID	LABEL
http://www.orpha.net/ORDO/Orphanet_326	obsolete_congenital factor V deficiency
http://www.orpha.net/ORDO/Orphanet_91416	obsolete_isolated congenital alacrima
http://www.orpha.net/ORDO/Orphanet_79651	obsolete_mild hyperphenylalaninemia
http://www.orpha.net/ORDO/Orphanet_622	obsolete_homocystinuria without methylmalonic aciduria
http://www.orpha.net/ORDO/Orphanet_295215	obsolete_humero-ulnar synostosis, bilateral
http://www.orpha.net/ORDO/Orphanet_418	obsolete_congenital adrenal hyperplasia
http://www.orpha.net/ORDO/Orphanet_3086	obsolete_autosomal dominant vitreoretinochoroidopathy
http://www.orpha.net/ORDO/Orphanet_220386	obsolete_semilobar holoprosencephaly
http://www.orpha.net/ORDO/Orphanet_284332	obsolete_infantile-onset autosomal recessive nonprogressive cerebellar ataxia
http://www.orpha.net/ORDO/Orphanet_228410	obsolete_polyvalvular heart disease syndrome
http://www.orpha.net/ORDO/Orphanet_3439	obsolete_von Voss-Cherstvoy syndrome
http://www.orpha.net/ORDO/Orphanet_93329	obsolete_autosomal recessive omodysplasia
http://www.orpha.net/ORDO/Orphanet_325124	obsolete_testicular agenesis
http://www.orpha.net/ORDO/Orphanet_324321	obsolete_sinoatrial node dysfunction and deafness
http://www.orpha.net/ORDO/Orphanet_1802	obsolete_ghosal hematodiaphyseal dysplasia
http://www.orpha.net/ORDO/Orphanet_140957	obsolete_autosomal dominant macrothrombocytopenia
http://www.orpha.net/ORDO/Orphanet_99797	obsolete_anodontia
http://www.orpha.net/ORDO/Orphanet_93921	obsolete_neurofibromatosis type 3
http://www.orpha.net/ORDO/Orphanet_275761	obsolete_lysosomal acid lipase deficiency
http://www.orpha.net/ORDO/Orphanet_137908	obsolete_hypotonia with lactic acidemia and hyperammonemia
http://www.orpha.net/ORDO/Orphanet_1826	obsolete_frontometaphyseal dysplasia
http://www.orpha.net/ORDO/Orphanet_369999	obsolete_diffuse palmoplantar keratoderma with painful fissures
http://www.orpha.net/ORDO/Orphanet_1309	obsolete_medullary sponge kidney
http://www.orpha.net/ORDO/Orphanet_96071	obsolete_distal trisomy 3p
http://www.orpha.net/ORDO/Orphanet_295193	obsolete_zygodactyly type 4
http://www.orpha.net/ORDO/Orphanet_97242	obsolete_congenital muscular dystrophy
http://www.orpha.net/ORDO/Orphanet_269212	obsolete_isolated Dandy-Walker malformation with hydrocephalus
http://www.orpha.net/ORDO/Orphanet_1822	obsolete_dysplasia epiphysealis hemimelica
http://www.orpha.net/ORDO/Orphanet_364577	obsolete_intellectual disability-brachydactyly-Pierre Robin syndrome
http://www.orpha.net/ORDO/Orphanet_282	obsolete_frontotemporal dementia
http://www.orpha.net/ORDO/Orphanet_262986	obsolete_partial duplication of the long arm of chromosome 19
http://www.orpha.net/ORDO/Orphanet_157713	obsolete_congenital or early infantile CACH syndrome
